Data,Ticker,MarketCap,P/VP,Price,Rf
6/1/1995,AESB3,0.00,0.00,0.00,0.00
6/1/1995,AALR3,0.00,0.00,0.00,0.00
6/1/1995,ALPA4,221.64,0.56,0.11,0.00
6/1/1995,ALUP11,0.00,0.00,0.00,0.00
6/1/1995,ABEV3,2760.13,2.82,0.11,0.00
6/1/1995,AMER3,0.00,0.00,0.00,0.00
6/1/1995,ANIM3,0.00,0.00,0.00,0.00
6/1/1995,ARZZ3,0.00,0.00,0.00,0.00
6/1/1995,AZEV4,4.05,0.10,0.35,0.00
6/1/1995,BLUT4,7.93,0.00,31658.05,0.00
6/1/1995,BRAP3,0.00,0.00,0.00,0.00
6/1/1995,BRAP4,0.00,0.00,0.00,0.00
6/1/1995,AGRO3,0.00,0.00,0.00,0.00
6/1/1995,BRKM5,841.05,0.00,1.33,0.00
6/1/1995,BRFS3,314.21,0.00,0.00,0.00
6/1/1995,CCRO3,0.00,0.00,0.00,0.00
6/1/1995,CLSC4,341.94,0.00,3.19,0.00
6/1/1995,CMIG4,2666.30,0.00,0.26,0.00
6/1/1995,CESP6,2345.40,0.00,0.00,0.00
6/1/1995,COCE5,0.00,0.00,0.09,0.00
6/1/1995,COGN3,0.00,0.00,0.00,0.00
6/1/1995,CGAS5,0.00,0.00,0.00,0.00
6/1/1995,CSMG3,0.00,0.00,0.00,0.00
6/1/1995,CPLE6,1666.83,0.00,0.00,0.00
6/1/1995,CSAN3,0.00,0.00,0.00,0.00
6/1/1995,CPFE3,0.00,0.00,0.00,0.00
6/1/1995,CRPG5,34.81,0.00,0.41,0.00
6/1/1995,CARD3,0.00,0.00,0.00,0.00
6/1/1995,CVCB3,0.00,0.00,0.00,0.00
6/1/1995,CYRE3,0.00,0.00,0.00,0.00
6/1/1995,DASA3,0.00,0.00,0.00,0.00
6/1/1995,DXCO3,0.00,0.00,0.00,0.00
6/1/1995,DEXP3,0.00,0.00,0.00,0.00
6/1/1995,PNVL3,22.90,0.43,0.06,0.00
6/1/1995,DIRR3,0.00,0.00,0.00,0.00
6/1/1995,ECOR3,0.00,0.00,0.00,0.00
6/1/1995,ELET3,14135.78,0.21,3.68,0.00
6/1/1995,EMBR3,51.09,0.00,0.28,0.00
6/1/1995,ENAT3,0.00,0.00,0.00,0.00
6/1/1995,ENBR3,0.00,0.00,0.00,0.00
6/1/1995,ENGI3,0.00,#VALUE!,#VALUE!,0.00
6/1/1995,ENEV3,0.00,0.00,0.00,0.00
6/1/1995,EGIE3,0.00,0.00,0.00,0.00
6/1/1995,EQTL3,0.00,0.00,0.00,0.00
6/1/1995,ETER3,181.90,0.00,0.21,0.00
6/1/1995,EUCA4,59.64,0.20,1.12,0.00
6/1/1995,EVEN3,0.00,0.00,0.00,0.00
6/1/1995,EZTC3,0.00,0.00,0.00,0.00
6/1/1995,FHER3,0.00,0.00,0.00,0.00
6/1/1995,FESA4,24.72,0.18,0.06,0.00
6/1/1995,FLRY3,0.00,0.00,0.00,0.00
6/1/1995,FRAS3,11.23,-0.46,0.13,0.00
6/1/1995,GFSA3,0.00,0.00,0.00,0.00
6/1/1995,GGBR4,100.04,0.00,0.08,0.00
6/1/1995,GOAU4,71.61,0.17,0.08,0.00
6/1/1995,GRND3,0.00,0.00,0.00,0.00
6/1/1995,NTCO3,0.00,0.00,0.00,0.00
6/1/1995,GUAR3,99.58,0.33,0.10,0.00
6/1/1995,HBOR3,0.00,0.00,0.00,0.00
6/1/1995,HYPE3,0.00,0.00,0.00,0.00
6/1/1995,PARD3,0.00,0.00,0.00,0.00
6/1/1995,MEAL3,0.00,0.00,0.00,0.00
6/1/1995,ROMI3,68.25,0.00,0.22,0.00
6/1/1995,MYPK3,97.19,0.41,1.22,0.00
6/1/1995,RANI3,0.00,0.00,0.06,0.00
6/1/1995,JBSS3,0.00,0.00,0.00,0.00
6/1/1995,JHSF3,0.00,0.00,0.00,0.00
6/1/1995,KEPL3,0.00,0.00,0.00,0.00
6/1/1995,KLBN11,751.33,0.00,0.00,0.00
6/1/1995,LIGT3,3231.55,0.00,36.24,0.00
6/1/1995,RENT3,0.00,0.00,0.00,0.00
6/1/1995,LCAM3,0.00,0.00,0.00,0.00
6/1/1995,LOGN3,0.00,0.00,0.00,0.00
6/1/1995,AMAR3,0.00,0.00,0.00,0.00
6/1/1995,LREN3,95.94,1.95,0.11,0.00
6/1/1995,LUPA3,0.00,0.00,0.00,0.00
6/1/1995,MDIA3,0.00,0.00,0.00,0.00
6/1/1995,MGLU3,0.00,0.00,0.00,0.00
6/1/1995,POMO4,117.07,0.73,0.04,0.00
6/1/1995,MRFG3,0.00,0.00,0.00,0.00
6/1/1995,LEVE3,55.76,0.00,0.22,0.00
6/1/1995,MILS3,0.00,0.00,0.00,0.00
6/1/1995,BEEF3,0.00,0.00,0.00,0.00
6/1/1995,MOVI3,0.00,0.00,0.00,0.00
6/1/1995,MRVE3,0.00,0.00,0.00,0.00
6/1/1995,ODPV3,0.00,0.00,0.00,0.00
